SEM_EXM_EXCH_ID, SEM_SEGMENT,SEM_SMST_SECURITY_ID,SEM_INSTRUMENT_NAME,SEM_EXPIRY_CODE,SEM_TRADING_SYMBOL,SEM_LOT_UNITS,SEM_CUSTOM_SYMBOL,SEM_EXPIRY_DATE,SEM_STRIKE_PRICE,SEM_OPTION_TYPE,SEM_TICK_SIZE,SEM_EXPIRY_FLAG,SEM_EXCH_INSTRUMENT_TYPE,SEM_SERIES,SM_SYMBOL_NAME
NSE,D,35005,OPTIDX,0,BANKNIFTY-Sep2024-43300-CE,15.0,BANKNIFTY 25 SEP 43300 CALL,2024-09-25 14:30:00,43300.0,CE,5.0,M,OP,,
NSE,D,35028,OPTIDX,0,BANKNIFTY-Sep2024-43300-PE,15.0,BANKNIFTY 25 SEP 43300 PUT,2024-09-25 14:30:00,43300.0,PE,5.0,M,OP,,
NSE,D,35029,OPTIDX,0,BANKNIFTY-Sep2024-43400-CE,15.0,BANKNIFTY 25 SEP 43400 CALL,2024-09-25 14:30:00,43400.0,CE,5.0,M,OP,,
NSE,D,35030,OPTIDX,0,BANKNIFTY-Sep2024-43400-PE,15.0,BANKNIFTY 25 SEP 43400 PUT,2024-09-25 14:30:00,43400.0,PE,5.0,M,OP,,
NSE,D,35031,OPTIDX,0,BANKNIFTY-Sep2024-43600-CE,15.0,BANKNIFTY 25 SEP 43600 CALL,2024-09-25 14:30:00,43600.0,CE,5.0,M,OP,,
NSE,D,35047,OPTIDX,0,BANKNIFTY-Sep2024-43600-PE,15.0,BANKNIFTY 25 SEP 43600 PUT,2024-09-25 14:30:00,43600.0,PE,5.0,M,OP,,
NSE,D,35048,OPTIDX,0,BANKNIFTY-Sep2024-43700-CE,15.0,BANKNIFTY 25 SEP 43700 CALL,2024-09-25 14:30:00,43700.0,CE,5.0,M,OP,,
NSE,D,35059,OPTIDX,0,BANKNIFTY-Sep2024-29500-CE,15.0,BANKNIFTY 25 SEP 29500 CALL,2024-09-25 14:30:00,29500.0,CE,5.0,M,OP,,
NSE,D,35065,OPTIDX,0,BANKNIFTY-Sep2024-29500-PE,15.0,BANKNIFTY 25 SEP 29500 PUT,2024-09-25 14:30:00,29500.0,PE,5.0,M,OP,,
NSE,D,35074,OPTIDX,0,BANKNIFTY-Sep2024-43700-PE,15.0,BANKNIFTY 25 SEP 43700 PUT,2024-09-25 14:30:00,43700.0,PE,5.0,M,OP,,
